clause_text,label
"THE SERVICES ARE PROVIDED 'AS IS' AND 'AS AVAILABLE' WITHOUT WARRANTY OF ANY KIND, EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO THE IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, AND NON-INFRINGEMENT. PROVIDER DISCLAIMS ALL WARRANTIES, EXPRESS OR IMPLIED.",LOW
"THIS LIMITATION WILL APPLY REGARDLESS OF THE THEORY OF LIABILITY, WHETHER BASED ON CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY, OR OTHERWISE.",LOW
"In consideration of the payments to be made to the Seller, as hereinafter provided and agreed to by both the parties, the Seller shall upon and subject to the said condition execute and complete the contract.",LOW
"Customer's liability to Provider for any claims, damages, losses, or expenses arising out of or relating to this Agreement or the Services, whether based on contract, tort (including negligence), strict liability, or any other legal theory, will be unlimited and will include, without limitation, direct, indirect, incidental, special, consequential, exemplary, and punitive damages.",LOW
"Neither party may assign this Agreement or any rights or obligations hereunder without the prior written consent of the other party, except that either party may assign this Agreement without consent: (a) to an affiliate that is controlled by, controls, or is under common control with such party; or (b) in connection with a merger, acquisition, or sale of all or substantially all of the assets of such party's business.",LOW
"The ""Service provider"" shall mean the person or persons, the firm or company who's application for execution of work has been accepted by the Institute and includes the Service provider's legal representatives, his successors and permitted assignees.",LOW
"All intellectual property rights in and to the Services, including but not limited to copyrights, trademarks, trade secrets, patents, and other proprietary rights, are and will remain the exclusive property of Provider and its licensors. Customer will not acquire any rights in such intellectual property except as expressly granted in this Agreement.",MEDIUM
"Provider will not be liable to Customer or any third party for any modification, suspension, or discontinuation of the Services.",LOW
"Provider may terminate this Agreement immediately, without notice, for any reason or no reason, in its sole discretion, without liability to Customer",LOW
"This Agreement will be governed by and construed in accordance with the laws of the State of California, without regard to its conflict of law principles.",LOW
"In consideration of the payments to be made to the Company, as hereinafter provided and agreed to by both the parties, the Company shall upon and subject to the said condition execute and complete the contract.",LOW
"THIS AGREEMENT has been made on this 28 day of January, 2018 at Delaware BETWEEN Buyer (hereinafter referred to as the buyer) AND Seller (hereinafter referred to as the seller).",LOW
"Any dispute, controversy, or claim arising out of or relating to this Agreement, including the formation, interpretation, breach, or termination thereof, will be referred to and finally determined by arbitration in accordance with the JAMS Comprehensive Arbitration Rules and Procedures. The parties waive any right to a jury trial.",MEDIUM
Customer will not acquire any rights in such intellectual property except as expressly granted in this Agreement.,MEDIUM
"This Agreement will be governed by and construed in accordance with the laws of the State of California, without regard to its conflict of law principles.",LOW
"Customer agrees to pay Provider the fees set forth in this Agreement within 30 days of receipt of invoice. Late payments will bear interest at the rate of 1.5% per month or the maximum rate permitted by applicable law, whichever is less. Customer will reimburse Provider for all costs and expenses, including reasonable attorneys' fees, incurred in collecting any overdue amounts.",LOW
"WHEREAS the Institute has empanelled some agencies for providing operational services to its mess of Halls of Residence as per the terms and conditions, specifications and general conditions of the contract, as attached along with this agreement.",LOW
The Client shall pay the Vendor such sums as shall become payable hereunder at the time and in the manner specified in the said conditions.,LOW
Each party agrees to maintain the confidentiality of all Confidential Information received from the other party during the term of this Agreement and for a period of five (5) years thereafter. Confidential Information will not include information that: (a) is or becomes publicly available through no breach of this Agreement; (b) was rightfully known by the receiving party prior to disclosure; or (c) is rightfully received from a third party without breach of any confidentiality obligation.,MEDIUM
"Customer hereby waives, to the fullest extent permitted by applicable law, any and all rights it may have against Provider, including without limitation: (a) the right to a trial by jury; (b) the right to participate in a class action lawsuit; (c) the right to seek punitive or exemplary damages; and (d) any other rights that may be available under applicable law.",LOW
Any disputes arising under this Agreement will first be addressed through good faith negotiations between the parties,LOW
"WHEREAS Institute has contracted as per the terms and conditions, specifications and general conditions of the contract, as attached along with this agreement.",LOW
"All notices required or permitted under this Agreement will be in writing and will be deemed given: (a) when delivered personally; (b) when sent by certified mail (return receipt requested), postage prepaid; (c) when sent by a recognized overnight courier service; or (d) when sent by email (with confirmation of receipt), in each case to the addresses specified in this Agreement.",LOW
"AND whereas the said terms and conditions, specifications as well as the scope of work to be done, as set out in the General Conditions of the contract, have been accepted and signed by the Service Provider",LOW
"The provisions of this Agreement that by their nature should survive termination will survive termination, including without limitation: confidentiality obligations, indemnification obligations, limitation of liability, dispute resolution, and any other provisions that expressly or by their nature are intended to survive termination.",MEDIUM
"The scope of work and prices Schedule of Quantities and conditions shall be according to the terms and conditions of this contract and the decision of the mutually agreed sole Arbitrator as appointed by the Deputy Director of the institute, in reference to all matters of dispute in relation to this agreement or otherwise pertaining to the general condition of the contract shall be final and binding on both parties.",LOW
"Any disputes arising under this Agreement will first be addressed through good faith negotiations between the parties. If such negotiations are unsuccessful within 60 days, the parties agree to submit the dispute to mediation before a mutually agreed mediator before pursuing other remedies.",LOW
Confidential Information will not include information that: (a) is or becomes publicly available through no breach of this Agreement; (b) was rightfully known by the receiving party prior to disclosure; or (c) is rightfully received from a third party without breach of any confidentiality obligation.,MEDIUM
NOW therefore it is hereby agreed as follows:,LOW
"All intellectual property rights in and to the Services, including but not limited to copyrights, trademarks, trade secrets, patents, and other proprietary rights, are and will remain the exclusive property of Provider and its licensors",MEDIUM
NOW therefore it is hereby agreed as follows:,LOW
"AND whereas the Service Provider has agreed to execute, upon and subject to the condition set forth herein, (hereinafter referred to as the said conditions) the work shown in the General Conditions of the Contract",LOW
"Upon such termination, Customer will immediately cease all use of the Services and return or destroy all Confidential Information",LOW
"Any dispute, controversy, or claim arising out of or relating to this Agreement, including the formation, interpretation, breach, or termination thereof, will be referred to and finally determined by arbitration in accordance with the JAMS Comprehensive Arbitration Rules and Procedures",MEDIUM
"IN NO EVENT WILL EITHER PARTY'S LIABILITY UNDER THIS AGREEMENT EXCEED THE TOTAL AMOUNT PAID BY CUSTOMER TO PROVIDER IN THE TWELVE (12) MONTHS PRECEDING THE CLAIM. THIS LIMITATION WILL APPLY REGARDLESS OF THE THEORY OF LIABILITY, WHETHER BASED ON CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY, OR OTHERWISE.",LOW
IN WITNESS WHEREOF the parties hereto have set their respective hands the day and the year herein above written.,LOW
NOW therefore it is hereby agreed as follows: 1,LOW
"WHEREAS Employer has agreed as per the terms and conditions, specifications and general conditions of the contract, as attached along with this agreement.",LOW
"AND whereas the Institute has empanelled some agencies for providing operational services to its mess of Halls of Residence as per the terms and conditions, specifications and general conditions of the contract, as attached along with this agreement",LOW
NOW therefore it is hereby agreed as follows:,LOW
"WHEREAS Client has entered into an agreement as per the terms and conditions, specifications and general conditions of the contract, as attached along with this agreement.",LOW
"In consideration of the payments to be made to the Service Provider, as hereinafter provided and agreed to by both the parties, the Service Provider shall upon and subject to the said condition execute and complete the contract.",LOW
Either party may terminate this Agreement upon 30 days' prior written notice to the other party if the other party materially breaches this Agreement and fails to cure such breach within such 30-day period,LOW
"WHEREAS Company has contracted as per the terms and conditions, specifications and general conditions of the contract, as attached along with this agreement.",LOW
"Neither party will be liable for any failure or delay in performance under this Agreement due to circumstances beyond its reasonable control, including but not limited to: acts of God, war, terrorism, riots, embargoes, acts of civil or military authorities, fire, floods, accidents, network or Internet failures, strikes, or shortages of transportation facilities, fuel, energy, labor, or materials.",LOW
"Provider will not be liable for any loss, corruption, or unauthorized access to Customer Data, regardless of the cause, including without limitation: (a) system failures or malfunctions; (b) security breaches or cyber attacks; (c) acts of third parties, including hackers; (d) force majeure events; (e) Provider's negligence; or (f) any other cause.",MEDIUM
"In consideration of the payments to be made to the Vendor, as hereinafter provided and agreed to by both the parties, the Vendor shall upon and subject to the said condition execute and complete the contract.",LOW
The Quality of performance related to the work is the essence of the Contract and in the event of failure to perform as per term and conditions of the Contract and to the satisfaction of the Institute; the Service Provider shall be penalized as per provisions of the Contract. 4,HIGH
"PROVIDER DISCLAIMS ALL WARRANTIES, EXPRESS OR IMPLIED.",LOW
"THIS AGREEMENT has been made on this 26 day of January, 2014 at Mumbai BETWEEN Client (hereinafter referred to as the client) AND Vendor (hereinafter referred to as the vendor).",LOW
"Late payments will bear interest at the rate of 1.5% per month or the maximum rate permitted by applicable law, whichever is less",LOW
"This Agreement will automatically renew for additional periods equal to the expiring term or one year (whichever is shorter), unless either party gives the other notice of non-renewal at least 30 days before the end of the relevant term",LOW
"If any provision of this Agreement is held to be invalid, illegal, or unenforceable by a court of competent jurisdiction, the remaining provisions will remain in full force and effect, and the invalid provision will be modified to the minimum extent necessary to make it valid and enforceable.",LOW
Provider will not be required to refund any fees paid by Customer.,LOW
IN NO EVENT WILL EITHER PARTY'S LIABILITY UNDER THIS AGREEMENT EXCEED THE TOTAL AMOUNT PAID BY CUSTOMER TO PROVIDER IN THE TWELVE (12) MONTHS PRECEDING THE CLAIM,LOW
Customer's continued use of the Services after such modification will constitute Customer's acceptance of the modified terms.,LOW
"Provider may terminate this Agreement immediately, without notice, for any reason or no reason, in its sole discretion, without liability to Customer. Upon such termination, Customer will immediately cease all use of the Services and return or destroy all Confidential Information. Provider will not be required to refund any fees paid by Customer.",LOW
NOW therefore it is hereby agreed as follows:,LOW
"THIS AGREEMENT has been made on this __th day of October, 2012 at IIT Kanpur BETWEEN Indian Institute of Technology Kanpur (hereinafter referred to as the Institute) incorporated as a body of corporate under the Institute of Technology Act, 1961, through its Director (represented by Dean of Students' Affairs, Chairman, Council of Wardens & Warden-in-Charge/Warden of Hall of Residence No.-__.)",LOW
The Buyer shall pay the Seller such sums as shall become payable hereunder at the time and in the manner specified in the said conditions.,LOW
"Customer hereby waives, to the fullest extent permitted by applicable law, any and all rights it may have against Provider, including without limitation: (a) the right to a trial by jury; (b) the right to participate in a class action lawsuit; (c) the right to seek punitive or exemplary damages; and (d) any other rights that may be available under applicable law.",LOW
NOW therefore it is hereby agreed as follows:,LOW
IN WITNESS WHEREOF the parties hereto have set their respective hands the day and the year herein above written.,LOW
Each party agrees to maintain the confidentiality of all Confidential Information received from the other party during the term of this Agreement and for a period of five (5) years thereafter,MEDIUM
"THIS AGREEMENT has been made on this 18 day of October, 2010 at Delaware BETWEEN Company (hereinafter referred to as the company) AND Customer (hereinafter referred to as the customer).",LOW
"This Agreement, together with any exhibits, schedules, or attachments attached hereto, constitutes the entire agreement between the parties with respect to the subject matter hereof and supersedes all prior and contemporaneous agreements, understandings, negotiations, and communications, whether written or oral, relating to such subject matter.",LOW
"If such negotiations are unsuccessful within 60 days, the parties agree to submit the dispute to mediation before a mutually agreed mediator before pursuing other remedies.",LOW
IN WITNESS WHEREOF the parties hereto have set their respective hands the day and the year herein above written.,LOW
"The ""Service provider"" shall mean the person or persons, the firm or company who's application for execution of work has been accepted by the Institute and includes the Service provider's legal representatives, his successors and permitted assignees.",LOW
"This draft agreement is subject to change/fine tuning before final award of the contract THIS AGREEMENT has been made on this __th day of October, 2012 at IIT Kanpur BETWEEN Indian Institute of Technology Kanpur (hereinafter referred to as the Institute) incorporated as a body of corporate under the Institute of Technology Act, 1961, through its Director (represented by Dean of Students' Affairs, Chairman, Council of Wardens & Warden-in-Charge/Warden of Hall of Residence No.-__.) AND M/s __________ registered under ________________________ and having it's office at __________________________________________________ (hereinafter referred to as The Service Provider which expression shall include his/their respective heirs, executors, administrators and assignees), represented by _____________________________ on the other part",LOW
"THIS AGREEMENT has been made on this 12 day of December, 2022 at Delaware BETWEEN Employer (hereinafter referred to as the employer) AND Employee (hereinafter referred to as the employee).",LOW
"Provider reserves the right to modify the terms and conditions of this Agreement at any time, in its sole discretion, by posting the modified Agreement on Provider's website or by providing notice to Customer via email",LOW
"Provider shall indemnify, defend, and hold harmless Customer and its officers, directors, employees, agents, affiliates, successors, and assigns from and against any and all claims, demands, losses, costs, expenses, damages, judgments, penalties, interest, and liabilities (including, without limitation, reasonable attorneys' fees and costs) arising out of or relating to Provider's breach of this Agreement, without limitation or exception.",HIGH
"Provider reserves the right, in its sole discretion, to modify, suspend, or discontinue the Services (or any part thereof) at any time, with or without notice. Provider will not be liable to Customer or any third party for any modification, suspension, or discontinuation of the Services.",HIGH
"In the event of any material breach of this Agreement by Customer, including without limitation failure to pay any amount when due, Customer shall pay to Provider, as liquidated damages and not as a penalty, an amount equal to the greater of: (a) 100% of the total fees payable under this Agreement, or (b) $500,000.",HIGH
"Either party may terminate this Agreement upon 30 days' prior written notice to the other party if the other party materially breaches this Agreement and fails to cure such breach within such 30-day period. Upon termination, each party will return or destroy all Confidential Information of the other party in its possession or control.",LOW
"In consideration of the payments to be made to the Service Provider, as hereinafter provided and agreed to by both the parties, the Service Provider shall upon and subject to the said condition execute and complete the contract. 2",LOW
"Customer acknowledges that Provider has no obligation to refund any fees under any circumstances, including but not limited to: (i) termination of this Agreement by either party for any reason; (ii) Customer's dissatisfaction with the Services; (iii) Customer's inability to access or use the Services; or (iv) any other reason.",LOW
The Employer shall pay the Employee such sums as shall become payable hereunder at the time and in the manner specified in the said conditions.,LOW
"In the event of any material breach of this Agreement by Customer, including without limitation failure to pay any amount when due, Customer shall pay to Provider, as liquidated damages and not as a penalty, an amount equal to the greater of: (a) 100% of the total fees payable under this Agreement, or (b) $500,000.",HIGH
"WHEREAS the Institute has empanelled some agencies for providing operational services to its mess of Halls of Residence as per the terms and conditions, specifications and general conditions of the contract, as attached along with this agreement.",LOW
The Institute shall pay the Service Provider such sums as shall become payable hereunder at the time and in the manner specified in the said conditions.,LOW
"This Agreement will automatically renew for additional periods equal to the expiring term or one year (whichever is shorter), unless either party gives the other notice of non-renewal at least 30 days before the end of the relevant term. If Customer terminates this Agreement before the end of the then-current term, Customer will remain responsible for all fees payable for the remainder of the term, and Provider may charge Customer a termination fee equal to 75% of the remaining contract value.",HIGH
"Customer may not assign, transfer, or delegate this Agreement or any of its rights or obligations hereunder without Provider's prior written consent, which may be withheld in Provider's sole and absolute discretion",LOW
"Provider will not be liable for any loss, corruption, or unauthorized access to Customer Data, regardless of the cause, including without limitation: (a) system failures or malfunctions; (b) security breaches or cyber attacks; (c) acts of third parties, including hackers; (d) force majeure events; (e) Provider's negligence; or (f) any other cause.",MEDIUM
Any breach of the confidentiality obligations set forth in this Agreement will constitute a material breach of this Agreement and will cause Provider irreparable harm,MEDIUM
"All notices required or permitted under this Agreement will be in writing and will be deemed given: (a) when delivered personally; (b) when sent by certified mail (return receipt requested), postage prepaid; (c) when sent by a recognized overnight courier service; or (d) when sent by email (with confirmation of receipt), in each case to the addresses specified in this Agreement.",LOW
"In this Contract (as hereinafter defined) the following words and expressions shall have meanings hereby assigned to them, except where the context requires otherwise:",LOW
"Customer may not assign, transfer, or delegate this Agreement or any of its rights or obligations hereunder without Provider's prior written consent, which may be withheld in Provider's sole and absolute discretion. Any attempted assignment, transfer, or delegation without such consent will be null and void and of no force or effect.",LOW
"Provider shall indemnify, defend, and hold harmless Customer and its officers, directors, employees, agents, affiliates, successors, and assigns from and against any and all claims, demands, losses, costs, expenses, damages, judgments, penalties, interest, and liabilities (including, without limitation, reasonable attorneys' fees and costs) arising out of or relating to Provider's breach of this Agreement, without limitation or exception.",HIGH
"Neither party will be liable for any failure or delay in performance under this Agreement due to circumstances beyond its reasonable control, including but not limited to: acts of God, war, terrorism, riots, embargoes, acts of civil or military authorities, fire, floods, accidents, network or Internet failures, strikes, or shortages of transportation facilities, fuel, energy, labor, or materials.",LOW
"Customer's liability to Provider for any claims, damages, losses, or expenses arising out of or relating to this Agreement or the Services, whether based on contract, tort (including negligence), strict liability, or any other legal theory, will be unlimited and will include, without limitation, direct, indirect, incidental, special, consequential, exemplary, and punitive damages.",LOW
"In consideration of the payments to be made to the Employee, as hereinafter provided and agreed to by both the parties, the Employee shall upon and subject to the said condition execute and complete the contract.",LOW
"Upon termination, each party will return or destroy all Confidential Information of the other party in its possession or control.",LOW
"Customer will reimburse Provider for all costs and expenses, including reasonable attorneys' fees, incurred in collecting any overdue amounts.",LOW
"In consideration of the payments to be made to the Service Provider, as hereinafter provided and agreed to by both the parties, the Service Provider shall upon and subject to the said condition execute and complete the contract.",LOW
IN WITNESS WHEREOF the parties hereto have set their respective hands the day and the year herein above written.,LOW
Either party may terminate this Agreement upon 30 days' prior written notice to the other party if the other party materially breaches this Agreement and fails to cure such breach within such 30-day period.,LOW
"In consideration of the payments to be made to the Service Provider, as hereinafter provided and agreed to by both the parties, the Service Provider shall upon and subject to the said condition execute and complete the contract.",LOW
"THIS AGREEMENT has been made on this 20 day of October, 2023 at California BETWEEN Institute (hereinafter referred to as the institute) AND Service Provider (hereinafter referred to as the service_provider).",LOW
Either party may terminate this Agreement upon 30 days' prior written notice to the other party if the other party materially breaches this Agreement and fails to cure such breach within such 30-day period.,LOW
IN WITNESS WHEREOF the parties hereto have set their respective hands the day and the year herein above written.,LOW
"If any provision of this Agreement is held to be invalid, illegal, or unenforceable by a court of competent jurisdiction, the remaining provisions will remain in full force and effect, and the invalid provision will be modified to the minimum extent necessary to make it valid and enforceable.",LOW
Customer agrees to pay Provider the fees set forth in this Agreement within 30 days of receipt of invoice,LOW
"The ""Contract"" shall mean the agreement between the Institute and the service provider, duly signed by the parties to the Agreement, through their authorized representatives, for the execution of the work as described in the Scope of Work of this document and all terms and conditions mentioned herein after.",LOW
"Provider reserves the right to modify the terms and conditions of this Agreement at any time, in its sole discretion, by posting the modified Agreement on Provider's website or by providing notice to Customer via email. Customer's continued use of the Services after such modification will constitute Customer's acceptance of the modified terms.",LOW
"In this Contract (as hereinafter defined) the following words and expressions shall have meanings hereby assigned to them, except where the context requires otherwise:",LOW
The Institute shall pay the Service Provider such sums as shall become payable hereunder at the time and in the manner specified in the said conditions. 3,LOW
"WHEREAS Buyer has entered into an agreement as per the terms and conditions, specifications and general conditions of the contract, as attached along with this agreement.",LOW
"THIS AGREEMENT has been made on this __th day of October, 2012 at IIT Kanpur BETWEEN Indian Institute of Technology Kanpur (hereinafter referred to as the Institute) incorporated as a body of corporate under the Institute of Technology Act, 1961, through its Director (represented by Dean of Students' Affairs, Chairman, Council of Wardens & Warden-in-Charge/Warden of Hall of Residence No.-__.)",LOW
"In the event of such breach, Customer will immediately pay to Provider $1,000,000 as liquidated damages, in addition to any other remedies available to Provider at law or in equity.",LOW
IN WITNESS WHEREOF the parties hereto have set their respective hands the day and the year herein above written.,LOW
IN WITNESS WHEREOF the parties hereto have set their respective hands the day and the year herein above written.,LOW
NOW therefore it is hereby agreed as follows: 1,LOW
"In the event of such breach, Customer will immediately pay to Provider $1,000,000 as liquidated damages, in addition to any other remedies available to Provider at law or in equity.",LOW
Customer agrees to pay Provider the fees set forth in this Agreement within 30 days of receipt of invoice,LOW
"Any dispute, controversy, or claim arising out of or relating to this Contract, including the formation, interpretation, breach, or termination thereof, will be referred to and finally determined by arbitration in accordance with the JAMS Comprehensive Arbitration Rules and Procedures",MEDIUM
Any disputes arising under this Agreement will first be addressed through good faith negotiations between the parties,LOW
"Provider shall indemnify, defend, and hold harmless Customer and its officers, directors, employees, agents, affiliates, successors, and assigns from and against any and all claims, demands, losses, costs, expenses, damages, judgments, penalties, interest, and liabilities (including, without limitation, reasonable attorneys' fees and costs) arising out of or relating to Provider's breach of this Agreement, without limitation or exception.",HIGH
The Institute shall pay the Service Provider such sums as shall become payable hereunder at the time and in the manner specified in the said conditions.,LOW
"Customer hereby waives, to the fullest extent permitted by applicable law, any and all rights it may have against Provider, including without limitation: (a) the right to a trial by jury; (b) the right to participate in a class action lawsuit; (c) the right to seek punitive or exemplary damages; and (d) any other rights that may be available under applicable law.",LOW
"Neither party may assign this Agreement or any rights or obligations hereunder without the prior written consent of the other party, except that either party may assign this Agreement without consent: (a) to an affiliate that is controlled by, controls, or is under common control with such party; or (b) in connection with a merger, acquisition, or sale of all or substantially all of the assets of such party's business.",LOW
"Provider shall indemnify, defend, and hold harmless Customer and its officers, directors, employees, agents, affiliates, successors, and assigns from and against any and all claims, demands, losses, costs, expenses, damages, judgments, penalties, interest, and liabilities (including, without limitation, reasonable attorneys' fees and costs) arising out of or relating to Provider's breach of this Agreement, without limitation or exception.",HIGH
"This Agreement will be governed by and construed in accordance with the laws of the State of California, without regard to its conflict of law principles.",LOW
"This Agreement will automatically renew for additional periods equal to the expiring term or one year (whichever is shorter), unless either party gives the other notice of non-renewal at least 30 days before the end of the relevant term",LOW
"Customer's liability to Provider for any claims, damages, losses, or expenses arising out of or relating to this Agreement or the Services, whether based on contract, tort (including negligence), strict liability, or any other legal theory, will be unlimited and will include, without limitation, direct, indirect, incidental, special, consequential, exemplary, and punitive damages.",LOW
"Provider may terminate this Agreement immediately, without notice, for any reason or no reason, in its sole discretion, without liability to Customer. Upon such termination, Customer will immediately cease all use of the Services and return or destroy all Confidential Information. Provider will not be required to refund any fees paid by Customer.",LOW
Confidential Information will not include information that: (a) is or becomes publicly available through no breach of this Agreement; (b) was rightfully known by the receiving party prior to disclosure; or (c) is rightfully received from a third party without breach of any confidentiality obligation.,MEDIUM
"This Agreement will automatically renew for additional periods equal to the expiring term or one year (whichever is shorter), unless either party gives the other notice of non-renewal at least 30 days before the end of the relevant term",LOW
"In consideration of the payments to be made to the Vendor, as hereinafter provided and agreed to by both the parties, the Vendor shall upon and subject to the said condition execute and complete the contract.",LOW
Provider will not be required to refund any fees paid by Customer.,LOW
"WHEREAS the Institute has empanelled some agencies for providing operational services to its mess of Halls of Residence as per the terms and conditions, specifications and general conditions of the contract, as attached along with this agreement.",LOW
"Any disputes arising under this Agreement will first be addressed through good faith negotiations between the parties. If such negotiations are unsuccessful within 60 days, the parties agree to submit the dispute to mediation before a mutually agreed mediator before pursuing other remedies.",LOW
"Provider will not be liable for any loss, corruption, or unauthorized access to Customer Data, regardless of the cause, including without limitation: (a) system failures or malfunctions; (b) security breaches or cyber attacks; (c) acts of third parties, including hackers; (d) force majeure events; (e) Provider's negligence; or (f) any other cause.",MEDIUM
"Any breach of the confidentiality obligations set forth in this Agreement will constitute a material breach of this Agreement and will cause Provider irreparable harm. In the event of such breach, Customer will immediately pay to Provider $1,000,000 as liquidated damages, in addition to any other remedies available to Provider at law or in equity.",MEDIUM
"Provider will not be liable for any loss, corruption, or unauthorized access to Customer Data, regardless of the cause, including without limitation: (a) system failures or malfunctions; (b) security breaches or cyber attacks; (c) acts of third parties, including hackers; (d) force majeure events; (e) Provider's negligence; or (f) any other cause.",MEDIUM
"The ""Contract"" shall mean the agreement between the Institute and the service provider, duly signed by the parties to the Agreement, through their authorized representatives, for the execution of the work as described in the Scope of Work of this document and all terms and conditions mentioned herein after.",LOW
The Quality of performance related to the work is the essence of the Contract and in the event of failure to perform as per term and conditions of the Contract and to the satisfaction of the Institute; the Service Provider shall be penalized as per provisions of the Contract. 4,HIGH
"THE SERVICES ARE PROVIDED 'AS IS' AND 'AS AVAILABLE' WITHOUT WARRANTY OF ANY KIND, EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO THE IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, AND NON-INFRINGEMENT. PROVIDER DISCLAIMS ALL WARRANTIES, EXPRESS OR IMPLIED.",LOW
"This Document will be governed by and construed in accordance with the laws of the State of California, without regard to its conflict of law principles.",LOW
"Provider shall indemnify, defend, and hold harmless Customer and its officers, directors, employees, agents, affiliates, successors, and assigns from and against any and all claims, demands, losses, costs, expenses, damages, judgments, penalties, interest, and liabilities (including, without limitation, reasonable attorneys' fees and costs) arising out of or relating to Provider's breach of this Agreement, without limitation or exception.",HIGH
NOW therefore it is hereby agreed as follows: 1,LOW
"Any attempted assignment, transfer, or delegation without such consent will be null and void and of no force or effect.",LOW
"THIS AGREEMENT has been made on this 12 day of December, 2022 at Delaware BETWEEN Employer (hereinafter referred to as the employer) AND Employee (hereinafter referred to as the employee).",LOW
"WHEREAS Employer has agreed as per the terms and conditions, specifications and general conditions of the contract, as attached along with this agreement.",LOW
"In the event of any material breach of this Contract by Customer, including without limitation failure to pay any amount when due, Customer shall pay to Provider, as liquidated damages and not as a penalty, an amount equal to the greater of: (a) 100% of the total fees payable under this Contract, or (b) $500,000.",HIGH
"WHEREAS the Institute has empanelled some agencies for providing operational services to its mess of Halls of Residence as per the terms and conditions, specifications and general conditions of the contract, as attached along with this agreement.",LOW
"Provider will not be liable for any loss, corruption, or unauthorized access to Customer Data, regardless of the cause, including without limitation: (a) system failures or malfunctions; (b) security breaches or cyber attacks; (c) acts of third parties, including hackers; (d) force majeure events; (e) Provider's negligence; or (f) any other cause.",MEDIUM
"In the event of any material breach of this Agreement by Customer, including without limitation failure to pay any amount when due, Customer shall pay to Provider, as liquidated damages and not as a penalty, an amount equal to the greater of: (a) 100% of the total fees payable under this Agreement, or (b) $500,000.",HIGH
"Provider shall indemnify, defend, and hold harmless Customer and its officers, directors, employees, agents, affiliates, successors, and assigns from and against any and all claims, demands, losses, costs, expenses, damages, judgments, penalties, interest, and liabilities (including, without limitation, reasonable attorneys' fees and costs) arising out of or relating to Provider's breach of this Contract, without limitation or exception.",HIGH
"THIS LIMITATION WILL APPLY REGARDLESS OF THE THEORY OF LIABILITY, WHETHER BASED ON CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY, OR OTHERWISE.",LOW
"This Agreement will be governed by and construed in accordance with the laws of the State of California, without regard to its conflict of law principles.",LOW
